,Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Prod_Deliv_Ratio,CO2_per_unit,Deliveries_per_station,YearMonth,Lag_Deliveries,Rolling_3m_Deliveries,Delivery_Growth_Rate,Price_per_kWh
128,2015,3,North America,Model Y,11364,12347,84476.24,75,419,714.23,Official (Quarter),11669,1.0865012319605774,0.0578464404308739,0.9738623703830662,2015-3,14130.0,14710.0,-0.19575371549893839,1126.3498666666667
129,2020,1,Asia,Model S,16393,16411,86274.4,75,413,1015.55,Interpolated (Month),9830,1.0010980296468004,0.06188227408445555,1.6676500508646999,2020-1,10980.0,10795.333333333334,0.4929872495446266,1150.3253333333332
130,2015,9,Asia,Model Y,14196,15525,78658.82,120,693,1475.67,Estimated (Region),8233,1.0936179205409975,0.09505120772946861,1.7242803352362444,2015-9,16393.0,13856.333333333334,-0.134020618556701,655.4901666666667
131,2023,6,Asia,Model S,7800,7816,104026.38,82,486,568.62,Interpolated (Month),10369,1.0020512820512821,0.07275076765609008,0.7522422605844343,2023-6,14196.0,12796.333333333334,-0.4505494505494505,1268.6143902439026
132,2018,5,Middle East,Model X,10524,11157,73665.91,120,667,1052.93,Official (Quarter),7700,1.0601482326111744,0.09437393564578292,1.3667532467532468,2018-5,8570.0,10719.333333333334,0.22800466744457415,613.8825833333334
133,2020,4,North America,Model 3,7971,8106,78445.65,82,470,561.96,Estimated (Region),9489,1.016936394429808,0.06932642487046632,0.8400252924438824,2020-4,11364.0,11155.0,-0.29857444561774027,956.6542682926829
134,2015,10,Asia,Cybertruck,5675,6461,117974.08,120,716,609.49,Estimated (Region),8690,1.1385022026431717,0.09433369447453954,0.6530494821634062,2015-10,7800.0,9223.666666666666,-0.27243589743589747,983.1173333333334
135,2015,9,Middle East,Model S,9613,10902,105989.87,75,428,617.15,Official (Quarter),3269,1.1340892541350256,0.05660887910475142,2.940654634444784,2015-9,10524.0,9569.0,-0.08656404408969975,1413.1982666666665
136,2017,9,Middle East,Model S,15315,16609,93722.98,120,711,1633.34,Official (Quarter),10043,1.084492327783219,0.09834065867902944,1.5249427461913772,2017-9,9613.0,11817.333333333334,0.5931551024654114,781.0248333333333
137,2021,12,Asia,Cybertruck,10989,12120,108894.97,120,684,1127.47,Interpolated (Month),12214,1.102921102921103,0.09302557755775578,0.8997052562633044,2021-12,5675.0,8154.666666666667,0.9363876651982379,907.4580833333333
138,2024,11,Europe,Model X,6741,7454,97614.94,75,423,427.72,Interpolated (Month),6963,1.1057706571725263,0.05738127180037564,0.968117190866006,2024-11,1889.0,9309.333333333334,2.568554790894653,1301.5325333333333
139,2019,3,Asia,Model 3,7660,8197,92412.78,75,428,491.77,Official (Quarter),3325,1.0701044386422975,0.059993900207392946,2.303759398496241,2019-3,10989.0,8108.0,-0.30293930293930293,1232.1704
140,2018,7,Middle East,Model X,6750,7014,98646.72,75,433,438.41,Interpolated (Month),12554,1.039111111111111,0.06250499001996009,0.5376772343476183,2018-7,15315.0,10559.333333333334,-0.5592556317335945,1315.2896
141,2024,8,Middle East,Model 3,4293,4899,91215.62,100,565,363.83,Official (Quarter),8396,1.1411600279524807,0.07426617677076953,0.5113149118627918,2024-8,6750.0,8786.0,-0.364,912.1561999999999
142,2022,3,Middle East,Cybertruck,10627,11394,93214.8,75,427,680.66,Official (Quarter),5380,1.0721746494777453,0.059738458837984905,1.9752788104089218,2022-3,4293.0,7223.333333333333,1.4754251106452365,1242.864
143,2018,12,North America,Model 3,10972,12196,114344.56,100,571,939.75,Estimated (Region),7105,1.1115566897557418,0.07705395211544769,1.5442646023926812,2018-12,7971.0,10102.333333333334,0.3764897754359553,1143.4456
144,2021,7,Middle East,Model 3,8642,8738,85727.49,60,359,465.37,Official (Quarter),11318,1.0111085396898867,0.053258182650492106,0.7635624668669376,2021-7,10627.0,7854.0,-0.18678836924814157,1428.7915
145,2023,11,Europe,Model X,11323,12413,52155.06,120,703,1194.01,Interpolated (Month),13865,1.0962642409255499,0.09619028437927979,0.8166606563288857,2023-11,6741.0,6651.0,0.6797211096276516,434.6255
146,2022,11,Europe,Cybertruck,8918,9081,64841.95,60,330,441.44,Interpolated (Month),8207,1.0182776407266203,0.048611386411188194,1.0866333617643475,2022-11,11323.0,8994.0,-0.2123995407577497,1080.6991666666665
147,2025,10,Asia,Model S,13514,14567,97725.78,60,343,695.3,Estimated (Region),5900,1.0779191949089832,0.04773117319969795,2.290508474576271,2025-10,7660.0,10721.0,0.7642297650130547,1628.763
148,2016,7,Europe,Model X,14833,15941,55394.08,82,453,1007.9,Interpolated (Month),7010,1.0746983078271422,0.06322689919076595,2.115977175463623,2016-7,8918.0,11691.333333333334,0.6632653061224489,675.5375609756097
149,2018,2,Europe,Model Y,2728,2744,69039.9,60,330,135.04,Interpolated (Month),14740,1.0058651026392962,0.04921282798833819,0.18507462686567164,2018-2,14833.0,8826.333333333334,-0.8160857547360615,1150.665
150,2017,12,Europe,Model X,12980,14796,68584.75,82,476,926.77,Official (Quarter),11141,1.1399075500770417,0.06263652338469856,1.1650659725338839,2017-12,2728.0,10180.333333333334,3.758064516129032,836.3993902439024
151,2019,4,Middle East,Model 3,14637,15970,56200.48,120,700,1536.88,Estimated (Region),3769,1.0910705745712919,0.09623544145272386,3.8835234810294508,2019-4,8642.0,11302.0,0.6937051608423976,468.33733333333333
152,2017,1,Middle East,Model S,2923,3251,72231.08,120,660,289.38,Estimated (Region),9133,1.1122134793020868,0.08901261150415257,0.32004817694076426,2017-1,14637.0,8734.0,-0.8003006080480973,601.9256666666666
153,2020,12,Europe,Cybertruck,2506,2586,96812.73,82,473,177.8,Estimated (Region),12994,1.0319233838786912,0.06875483372003094,0.19285824226566106,2020-12,12980.0,6071.333333333333,-0.8069337442218798,1180.6430487804878
154,2016,8,Asia,Model Y,6803,7012,111448.11,75,445,454.1,Estimated (Region),13446,1.0307217404086433,0.06476041072447233,0.5059497248252268,2016-8,13514.0,9325.666666666666,-0.4965961225395886,1485.9748
155,2020,7,Middle East,Model Y,9358,9414,118902.54,120,683,958.73,Interpolated (Month),4826,1.0059841846548407,0.10184087529211812,1.9390799834231247,2020-7,2923.0,8972.666666666666,2.2015053027711255,990.8544999999999
156,2015,9,Asia,Model S,12372,12396,55985.6,100,560,1039.25,Interpolated (Month),3318,1.0019398642095054,0.08383752823491449,3.72875226039783,2015-9,6803.0,10896.333333333334,0.8186094370130825,559.856
157,2016,9,North America,Model X,10096,11560,79243.27,100,599,907.13,Official (Quarter),11015,1.1450079239302695,0.07847145328719723,0.9165683159328188,2016-9,10972.0,9679.666666666666,-0.07983959168793286,792.4327000000001
158,2018,8,Middle East,Cybertruck,13056,14836,75916.25,82,481,941.99,Interpolated (Month),13763,1.1363357843137254,0.06349352925316797,0.9486303858170457,2018-8,9358.0,8445.666666666666,0.3951699081000213,925.8079268292682
159,2021,10,Asia,Model X,7975,8297,103789.47,82,487,582.57,Estimated (Region),5658,1.0403761755485894,0.07021453537423165,1.4095086603039944,2021-10,12372.0,9050.0,-0.35539928871645654,1265.725243902439
160,2021,10,North America,Model S,14764,15765,79707.23,100,557,1233.53,Interpolated (Month),8116,1.0678000541858574,0.07824484617824294,1.819122720551996,2021-10,10096.0,11944.0,0.4623613312202852,797.0722999999999
161,2015,10,Europe,Model Y,12831,14369,98628.75,60,338,650.53,Official (Quarter),10082,1.1198659496531838,0.045273157491822674,1.2726641539377108,2015-10,2506.0,9439.0,4.120111731843576,1643.8125
162,2025,2,Middle East,Model X,8905,9306,95963.54,100,595,794.77,Official (Quarter),7807,1.045030881527232,0.0854040404040404,1.1406430126809273,2025-2,13056.0,10439.666666666666,-0.3179381127450981,959.6353999999999
163,2015,10,Middle East,Model 3,10384,10742,58439.68,120,664,1034.25,Official (Quarter),11355,1.0344761171032357,0.09628095326754794,0.9144870101276971,2015-10,8905.0,10781.666666666666,0.1660864682762493,486.99733333333336
164,2020,8,North America,Cybertruck,5817,6517,67287.58,60,356,310.63,Interpolated (Month),13929,1.1203369434416366,0.04766456958723339,0.41761791944863236,2020-8,14764.0,10225.666666666666,-0.6060010837171499,1121.4596666666666
165,2018,11,Asia,Model 3,7160,7549,107679.84,60,336,360.86,Official (Quarter),8628,1.0543296089385474,0.047802357928202414,0.8298562818729717,2018-11,7975.0,9169.0,-0.10219435736677118,1794.664
166,2021,9,Asia,Model Y,9140,10036,116935.48,100,550,754.05,Interpolated (Month),5975,1.0980306345733042,0.07513451574332403,1.5297071129707114,2021-9,7160.0,8091.666666666667,0.276536312849162,1169.3548
167,2025,1,Europe,Model Y,13291,14566,62104.57,100,584,1164.29,Official (Quarter),8126,1.0959295764050863,0.07993203350267747,1.63561407826729,2025-1,12831.0,9542.666666666666,0.03585067414854648,621.0457
168,2025,3,Middle East,Model 3,15264,16486,73693.64,120,699,1600.43,Interpolated (Month),11612,1.0800576519916143,0.09707812689554775,1.3145022390630383,2025-3,10384.0,11517.666666666666,0.46995377503852076,614.1136666666666
169,2016,5,North America,Model 3,12231,12905,54772.06,100,551,1010.89,Estimated (Region),4621,1.055105878505437,0.07833320418442465,2.6468296905431723,2016-5,5817.0,10937.333333333334,1.1026302217637958,547.7206
170,2015,12,Middle East,Cybertruck,17203,17897,105829.14,100,565,1457.95,Interpolated (Month),8462,1.040341800848689,0.08146337374979047,2.032970928858426,2015-12,15264.0,14283.666666666666,0.12703092243186576,1058.2914
171,2021,3,Europe,Model X,6517,6629,57489.39,75,439,429.14,Official (Quarter),13254,1.0171858216971,0.06473676270930759,0.49170061868115283,2021-3,13291.0,10879.666666666666,-0.5096681965239636,766.5252
172,2016,12,North America,Model 3,8519,8888,113005.82,60,333,425.52,Interpolated (Month),14471,1.0433149430684352,0.04787578757875787,0.5886946306405916,2016-12,12231.0,8855.666666666666,-0.3034911290981931,1883.4303333333335
173,2022,5,Middle East,Cybertruck,17889,19907,110473.23,75,436,1169.94,Estimated (Region),13275,1.1128067527530885,0.05877028181041845,1.3475706214689265,2022-5,17203.0,16785.333333333332,0.03987676568040466,1472.9764
174,2017,5,Asia,Model X,14239,14773,93741.19,60,347,741.14,Official (Quarter),12993,1.0375026336119109,0.05016855073444798,1.0958977911182946,2017-5,9140.0,10179.666666666666,0.5578774617067834,1562.3531666666668
175,2019,8,Asia,Cybertruck,8619,8892,101522.48,75,424,548.17,Official (Quarter),9072,1.0316742081447965,0.06164754835807467,0.9500661375661376,2019-8,14239.0,10666.0,-0.39469063838752716,1353.6330666666665
176,2022,12,Europe,Model X,13132,14123,50985.58,100,550,1083.39,Estimated (Region),5881,1.0754645141638746,0.07671103873114778,2.2329535793232442,2022-12,6517.0,10980.0,1.0150375939849625,509.85580000000004
177,2024,8,Asia,Model S,15865,17167,66182.31,60,340,809.11,Estimated (Region),10368,1.08206744405925,0.047131706180462515,1.5301890432098766,2024-8,8619.0,12907.666666666666,0.8407007773523612,1103.0384999999999
178,2023,11,Asia,Cybertruck,8624,9706,67412.03,60,342,442.41,Official (Quarter),11015,1.1254638218923934,0.045581083865650115,0.782932364956877,2023-11,15865.0,11036.0,-0.45641348881184995,1123.5338333333334
179,2022,3,Middle East,Model S,18486,21086,110350.71,100,594,1647.1,Estimated (Region),8614,1.140646976090014,0.07811344019728729,2.1460413280705826,2022-3,17889.0,17859.333333333332,0.03337246352507117,1103.5071
180,2023,8,Europe,Model X,11623,11690,102745.27,60,345,601.49,Interpolated (Month),7423,1.0057644325905533,0.05145337895637297,1.5658089721137007,2023-8,13132.0,10424.0,-0.1149101431617423,1712.4211666666667
181,2018,3,Europe,Model S,8500,9229,106380.26,75,441,562.27,Interpolated (Month),4846,1.085764705882353,0.06092426048325929,1.7540239372678497,2018-3,11623.0,11085.0,-0.26869138776563706,1418.4034666666666
182,2020,5,Europe,Model S,10841,12455,78552.6,60,338,549.64,Estimated (Region),9694,1.1488792546813025,0.04413006824568446,1.118320610687023,2020-5,8500.0,10321.333333333334,0.27541176470588224,1309.21
183,2021,3,Asia,Model 3,7552,8187,56653.96,75,420,475.78,Official (Quarter),7961,1.084083686440678,0.05811408330279711,0.9486245446551941,2021-3,8624.0,10680.333333333334,-0.12430426716140996,755.3861333333333
184,2017,11,North America,Model S,9677,10121,107566.68,75,414,600.94,Interpolated (Month),8023,1.0458819882194894,0.05937555577512104,1.2061572977689143,2017-11,8519.0,10142.333333333334,0.1359314473529758,1434.2223999999999
185,2019,7,Europe,Model Y,6164,6686,67662.59,60,357,330.08,Estimated (Region),6188,1.0846852693056457,0.04936883039186359,0.9961215255332903,2019-7,10841.0,8501.666666666666,-0.4314177658887557,1127.7098333333333
186,2015,9,Europe,Model Y,5111,5187,67022.05,75,439,336.56,Interpolated (Month),13268,1.0148698884758365,0.06488529014844804,0.3852125414531203,2015-9,6164.0,7372.0,-0.17083062946138872,893.6273333333334
187,2019,10,Europe,Cybertruck,5655,6381,56946.64,60,332,281.62,Interpolated (Month),6152,1.1283819628647216,0.04413414825262498,0.9192132639791938,2019-10,5111.0,5643.333333333333,0.10643709645861876,949.1106666666667
188,2023,12,Asia,Cybertruck,11905,12981,90535.08,100,561,1001.81,Official (Quarter),3560,1.090382192356153,0.07717510207225946,3.3441011235955056,2023-12,7552.0,9360.333333333334,0.5764036016949152,905.3508
189,2022,2,Middle East,Model X,8449,9164,58017.3,120,719,911.22,Estimated (Region),8106,1.0846253994555568,0.09943474465298996,1.0423143350604491,2022-2,18486.0,14941.333333333334,-0.5429514226982581,483.4775
190,2020,4,Europe,Cybertruck,4068,4417,80929.76,75,425,259.33,Interpolated (Month),11957,1.0857915437561456,0.058711795336201036,0.340219118507987,2020-4,5655.0,4944.666666666667,-0.2806366047745358,1079.0634666666665
191,2018,6,Asia,Model 3,15384,15892,93795.56,60,347,800.74,Official (Quarter),5218,1.033021320852834,0.050386357915932545,2.948256036795707,2018-6,11905.0,11613.666666666666,0.292230155396892,1563.2593333333332
192,2019,5,Europe,Model X,13602,14061,96362.25,75,435,887.53,Interpolated (Month),13981,1.033745037494486,0.06311997724201693,0.9728917817037408,2019-5,4068.0,7775.0,2.3436578171091447,1284.83
193,2018,5,North America,Model X,17044,18626,63064.8,120,661,1689.91,Estimated (Region),6414,1.0928185871861065,0.09072855148716848,2.657312129716246,2018-5,9677.0,11746.666666666666,0.7612896558850883,525.5400000000001
194,2024,10,Europe,Cybertruck,11346,11431,77762.62,60,341,580.35,Official (Quarter),6417,1.007491627005112,0.05076983640976293,1.7681159420289856,2024-10,13602.0,9672.0,-0.1658579620644023,1296.0436666666667
195,2025,2,Europe,Model Y,1589,1658,62204.97,100,589,140.39,Official (Quarter),14464,1.0434235368156073,0.08467430639324487,0.10985896017699115,2025-2,11346.0,8845.666666666666,-0.8599506433985545,622.0497
196,2019,2,Asia,Model S,9546,10021,99056.59,60,352,504.03,Estimated (Region),14152,1.0497590613869683,0.050297375511426004,0.6745336348219333,2019-2,15384.0,12278.333333333334,-0.3794851794071763,1650.9431666666667
197,2023,11,North America,Cybertruck,11986,12577,87376.96,60,331,595.1,Estimated (Region),5504,1.049307525446354,0.047316530174127375,2.177688953488372,2023-11,17044.0,12902.333333333334,-0.29676132363295005,1456.2826666666667
198,2016,12,North America,Model Y,8664,9913,77263.73,120,683,887.63,Interpolated (Month),7084,1.1441597414589104,0.08954201553515585,1.223037831733484,2016-12,11986.0,12564.666666666666,-0.277156682796596,643.8644166666667
199,2023,2,Asia,Cybertruck,14614,16080,115963.41,60,354,776.0,Estimated (Region),3503,1.100314766662105,0.04825870646766169,4.171852697687696,2023-2,9546.0,13181.333333333334,0.530902996019275,1932.7235
200,2021,4,Asia,Model X,8454,8914,94870.42,82,487,617.56,Interpolated (Month),4967,1.0544121126094157,0.06927978460848104,1.7020334205758003,2021-4,14614.0,10871.333333333334,-0.42151361707951285,1156.9563414634147
201,2018,12,North America,Model X,9743,10457,74615.49,100,595,869.56,Estimated (Region),9827,1.073283382941599,0.08315578081667782,0.9914521217055052,2018-12,8664.0,10131.0,0.12453831948291771,746.1549
202,2016,10,Middle East,Cybertruck,6815,7829,59204.24,60,338,345.52,Estimated (Region),7734,1.1487894350696992,0.04413335036403116,0.8811740367209723,2016-10,8449.0,11250.0,-0.19339566812640552,986.7373333333333
203,2019,6,Asia,Model 3,8068,8161,96953.55,75,443,536.12,Estimated (Region),5935,1.0115270203272186,0.06569292978801618,1.3593934288121314,2019-6,8454.0,10378.666666666666,-0.045658859711379174,1292.714
204,2019,1,Europe,Cybertruck,8718,9352,55978.21,75,448,585.85,Estimated (Region),9216,1.072723101628814,0.06264435414884517,0.9459635416666666,2019-1,1589.0,7217.666666666667,4.486469477658905,746.3761333333333
205,2024,6,Europe,Model Y,3651,4028,89589.5,120,664,363.64,Official (Quarter),4951,1.1032593809915092,0.0902780536246276,0.7374267824681883,2024-6,8718.0,4652.666666666667,-0.5812112869924295,746.5791666666667
206,2022,10,Europe,Model 3,20841,23735,95174.19,60,342,1069.14,Official (Quarter),14164,1.1388608991890985,0.045044870444491264,1.4714063823778594,2022-10,3651.0,11070.0,4.708299096138044,1586.2365
207,2015,5,Asia,Model Y,7896,8722,87526.75,100,565,669.19,Interpolated (Month),12765,1.1046099290780143,0.07672437514331576,0.618566392479436,2015-5,8068.0,8139.333333333333,-0.021318790282597866,875.2675
208,2024,10,Europe,Model Y,5697,6406,74881.46,100,564,481.97,Official (Quarter),13090,1.1244514656836933,0.07523727755229473,0.43521772345301757,2024-10,20841.0,10063.0,-0.7266445947891176,748.8146
209,2018,8,North America,Model 3,9870,10128,83015.46,100,554,820.2,Interpolated (Month),10508,1.0261398176291794,0.08098341232227489,0.9392843547773125,2018-8,9743.0,9425.666666666666,0.013034999486811083,830.1546000000001
210,2021,5,North America,Cybertruck,2210,2460,68015.58,100,584,193.6,Interpolated (Month),3476,1.1131221719457014,0.07869918699186991,0.6357882623705409,2021-5,9870.0,7274.333333333333,-0.7760891590678825,680.1558
211,2021,10,North America,Cybertruck,14193,15440,97193.45,75,442,941.0,Estimated (Region),10909,1.0878602127809485,0.06094559585492228,1.3010358419653496,2021-10,2210.0,8757.666666666666,5.422171945701358,1295.9126666666666
212,2020,12,North America,Model 3,15569,16988,78329.41,100,561,1310.13,Estimated (Region),6085,1.091142655276511,0.07712090887685426,2.5585866885784716,2020-12,14193.0,10657.333333333334,0.09694920031001208,783.2941000000001
